r,l,t
105.0,486,12.574035
215.0,652,20.034683
265.0,764,28.612342
295.0,846,37.930548
155.0,622,44.761623
75.0,455,49.656006
160.0,516,55.239836
210.0,694,62.452086
435.0,618,69.182399
130.0,455,74.541123
35.0,298,77.755533
155.0,509,83.202709
140.0,400,87.724177
165.0,512,93.499718
240.0,639,100.728254
285.0,771,108.989235
285.0,855,117.991421
180.0,460,123.689537
255.0,710,131.402849
100.0,432,136.149728
105.0,373,139.653253
135.0,391,143.775463
75.0,316,147.345165
210.0,618,153.968066
260.0,717,161.451253
260.0,721,169.877341
225.0,683,177.140763
335.0,602,183.470376
135.0,581,189.516885
150.0,521,195.432695
260.0,728,203.300305
210.0,608,209.662192
155.0,581,216.245241
155.0,600,222.872242
165.0,597,228.94993
180.0,610,235.699907
410.0,650,242.463157
240.0,719,250.385402
75.0,314,254.327979
245.0,775,262.843501
210.0,617,269.484483
210.0,625,276.140129
210.0,641,283.13133
180.0,599,289.897313
300.0,819,298.414567
180.0,606,305.096735
250.0,714,312.573354
110.0,476,318.064258
335.0,809,326.873096
290.0,726,335.158389
495.0,717,343.01086
210.0,609,349.202397
210.0,638,356.177861
485.0,718,363.838385
210.0,620,370.138519
365.0,1005,381.024417
180.0,509,386.637539
120.0,492,392.144552
210.0,607,398.668214
110.0,535,404.547673
210.0,608,411.054916
210.0,610,418.081164
260.0,719,425.958364
260.0,726,433.24867
110.0,483,438.566703
210.0,626,445.127971
120.0,475,449.910048
260.0,742,457.712026
315.0,791,465.990196
290.0,733,473.844089
385.0,594,480.462344
210.0,617,486.570885
210.0,621,493.076826
110.0,508,498.677371
500.0,736,506.924123
470.0,736,514.347007
110.0,540,520.227354
210.0,607,526.379634
110.0,490,531.480365
285.0,723,539.534036
210.0,675,546.467882
210.0,601,552.649244
345.0,813,561.536373
270.0,726,569.109793
210.0,619,575.8111
305.0,827,584.998618
390.0,1082,596.401821
470.0,689,603.661937
300.0,799,612.523747
410.0,614,619.608078
320.0,835,628.635618
460.0,727,636.138261
225.0,650,643.077276
260.0,740,651.002219
260.0,720,659.117511
460.0,749,667.057842
410.0,634,673.963965
465.0,731,681.929096
365.0,1077,692.819899
595.0,1115,705.328354
270.0,680,712.502815
410.0,603,718.841445
470.0,717,726.326192
420.0,1173,738.498538
450.0,1259,751.723614
620.0,1089,763.658567
620.0,1066,774.96658
290.0,742,782.840632
550.0,1051,793.852829
335.0,794,801.914979
465.0,729,809.620934
330.0,796,817.880558
745.0,1069,829.309021
350.0,798,838.12113
450.0,1270,851.755349
285.0,712,859.698567
290.0,744,867.469334
290.0,712,875.639915
210.0,607,882.139119
315.0,720,890.008948
650.0,1230,903.579022
635.0,1101,915.113577
265.0,695,922.080734
135.0,305,925.413083
420.0,1072,936.495122
90.0,329,940.152753
300.0,666,947.192067
620.0,927,957.24041
210.0,670,964.252107
225.0,661,971.017413
215.0,638,977.634856
435.0,1094,989.292637
735.0,1177,1001.49681
485.0,706,1008.646342
450.0,1165,1021.362943
285.0,707,1028.958009
135.0,520,1034.562459
210.0,619,1040.808064
320.0,728,1048.771175
565.0,1182,1060.790315
365.0,845,1069.908553
740.0,1240,1082.85609
620.0,1088,1094.517607
345.0,1021,1105.535542
470.0,1108,1116.903603
420.0,1053,1128.49223
545.0,1022,1139.00137
490.0,740,1146.583903
715.0,1152,1158.686397
500.0,751,1166.611001
575.0,1033,1177.532466
285.0,710,1184.63677
260.0,726,1192.575245
555.0,1174,1205.033636
470.0,1115,1216.682431
480.0,1143,1229.027798
285.0,699,1236.334941
620.0,1081,1247.979246
835.0,1102,1259.652016
735.0,798,1268.241872
490.0,769,1276.414528
345.0,803,1284.314178
210.0,652,1291.253916
300.0,745,1299.610658
425.0,1088,1311.791959
285.0,719,1319.538265
485.0,1140,1332.121932
670.0,1163,1344.544817
210.0,625,1351.179399
210.0,627,1358.071202
745.0,1034,1368.655291
335.0,759,1376.828958
830.0,1490,1393.08798
575.0,798,1401.756001
470.0,1165,1413.900328
620.0,1074,1425.38804
315.0,690,1432.595403
650.0,1212,1444.778037
635.0,1109,1456.572671
860.0,1496,1472.423
420.0,1066,1483.269145
620.0,1072,1494.22225
345.0,816,1503.279993
500.0,712,1510.869903
545.0,786,1519.063534
345.0,779,1527.166582
420.0,1107,1539.399873
530.0,796,1547.690985
105.0,311,1550.750782
470.0,1267,1564.409425
650.0,1263,1578.088777
300.0,797,1586.629857
680.0,1108,1598.863817
210.0,570,1605.031857
360.0,736,1613.0988
470.0,1102,1624.649898
565.0,1071,1636.073813
450.0,1142,1647.541472
345.0,1013,1658.627034
485.0,703,1666.499265
210.0,610,1672.889559
420.0,1080,1684.394439
180.0,313,1687.510067
365.0,741,1695.010291
210.0,580,1700.995444
345.0,769,1709.046715
650.0,1124,1720.858814
335.0,623,1727.656097
485.0,694,1734.87039
345.0,818,1744.063288
470.0,1107,1755.992386
555.0,1323,1770.305051
620.0,1057,1781.694431
450.0,986,1792.036025
290.0,629,1798.67293
365.0,1116,1810.811741
385.0,700,1818.157038
435.0,902,1828.061814
190.0,524,1833.775817
180.0,484,1839.036721
515.0,683,1846.281341
335.0,855,1855.346927
420.0,891,1864.717666
285.0,622,1871.902338
640.0,920,1882.345742
225.0,503,1888.053258
335.0,632,1894.493976
330.0,610,1901.392436
530.0,616,1908.318162
290.0,616,1914.593775
945.0,1197,1926.835258
