r,l,t
70.0,280,11.151219
90.0,290,14.87039
55.0,369,21.150631
105.0,384,26.436432
155.0,493,32.609252
275.0,457,40.101844
180.0,587,48.72022
180.0,621,58.106582
135.0,602,66.842737
180.0,658,76.239761
210.0,636,85.534702
180.0,636,94.600195
110.0,486,100.950575
180.0,649,110.283202
155.0,630,119.361429
180.0,620,128.200872
270.0,1411,148.778721
385.0,639,158.207606
180.0,655,167.59656
155.0,614,176.795157
210.0,636,186.213413
180.0,661,195.767133
410.0,637,205.112782
185.0,652,214.39821
475.0,1442,234.960229
380.0,624,243.930208
155.0,655,253.250667
260.0,731,263.763418
180.0,661,273.703796
240.0,729,283.732404
210.0,636,292.744596
260.0,730,303.707145
180.0,648,313.18648
155.0,642,322.65707
180.0,656,332.121337
140.0,613,340.477757
180.0,661,350.734198
295.0,1015,364.715393
180.0,625,373.967883
180.0,629,383.280889
210.0,629,392.465425
210.0,630,401.807261
380.0,654,411.189026
155.0,624,419.843118
290.0,728,429.87334
300.0,809,442.242043
180.0,617,450.673045
260.0,745,462.2679
180.0,665,471.882516
305.0,1066,487.397175
410.0,640,496.943929
805.0,1303,517.083109
255.0,821,528.478253
745.0,1093,544.173844
285.0,730,555.711946
620.0,1292,574.712946
460.0,707,585.499759
440.0,716,595.305523
240.0,722,606.191877
210.0,644,615.831181
490.0,766,627.426033
210.0,640,635.969595
485.0,725,646.857081
210.0,637,656.434044
210.0,593,665.365766
255.0,840,677.44182
180.0,612,686.500111
210.0,657,695.992672
105.0,482,703.232654
260.0,762,713.713892
575.0,1070,730.075808
410.0,623,739.753909
460.0,785,751.232282
260.0,749,762.012862
260.0,761,773.517709
300.0,836,785.961025
210.0,632,795.543015
285.0,761,806.139022
240.0,722,817.135365
260.0,736,828.434905
545.0,1095,844.447115
320.0,1053,860.261491
260.0,731,871.611586
80.0,322,876.583204
465.0,1296,895.949174
265.0,823,908.110381
430.0,1159,925.127288
155.0,485,932.49423
110.0,501,940.08237
125.0,544,948.061314
225.0,724,958.035957
720.0,1059,973.752646
105.0,389,979.367268
320.0,1071,996.045988
420.0,1094,1011.504695
210.0,662,1021.497867
240.0,733,1032.497317
270.0,735,1043.473116
345.0,1100,1059.277269
210.0,630,1068.636096
240.0,727,1079.737316
260.0,741,1090.214101
210.0,626,1099.633045
475.0,802,1111.294322
275.0,754,1122.62259
155.0,599,1131.526907
210.0,630,1140.780215
260.0,745,1151.577316
505.0,783,1163.220315
565.0,1106,1178.821929
650.0,1204,1197.330227
360.0,1086,1212.726922
265.0,733,1223.728307
670.0,1286,1242.842021
435.0,1293,1261.904229
410.0,653,1271.635894
260.0,740,1281.714774
590.0,1289,1300.877547
365.0,1068,1317.49186
520.0,1083,1333.13996
275.0,760,1344.786582
370.0,1079,1360.991451
380.0,1075,1378.132946
765.0,1127,1394.022982
265.0,685,1404.755924
315.0,810,1416.443408
395.0,1066,1432.155259
340.0,842,1445.128575
795.0,1050,1460.229498
355.0,998,1475.215014
590.0,1092,1490.940545
625.0,1107,1507.859959
365.0,1001,1522.115818
250.0,647,1531.500381
225.0,657,1541.826649
335.0,769,1552.183766
270.0,727,1563.504744
260.0,719,1574.201365
540.0,1064,1589.804964
315.0,710,1599.854086
520.0,834,1612.195121
365.0,845,1623.986136
260.0,972,1638.756588
315.0,830,1650.803035
560.0,1119,1667.516507
325.0,1135,1684.263203
550.0,1094,1700.13836
855.0,1481,1722.634828
330.0,1025,1738.016087
290.0,1096,1754.139682
285.0,728,1765.121865
395.0,1030,1780.256622
595.0,1106,1796.402409
255.0,655,1806.789399
390.0,1016,1821.159631
365.0,1057,1837.900605
840.0,1028,1853.279733
710.0,1717,1878.390871
285.0,884,1891.68894
285.0,854,1903.860359
340.0,1013,1919.30844
450.0,1307,1939.091693
295.0,667,1949.597829
365.0,1042,1964.839521
345.0,898,1977.967906
315.0,799,1989.951973
695.0,1069,2005.853471
650.0,978,2020.106974
555.0,991,2034.423994
315.0,652,2043.84547
285.0,851,2056.080514
365.0,1104,2072.081168
550.0,1021,2087.182276
620.0,1071,2103.692839
620.0,1097,2119.54178
320.0,726,2130.92655
380.0,1125,2148.318384
570.0,1082,2163.708325
700.0,1189,2181.258231
360.0,858,2194.221903
285.0,847,2206.445035
455.0,970,2221.416863
555.0,988,2236.442434
265.0,547,2244.260135
395.0,1016,2259.719781
320.0,702,2269.516922
370.0,1043,2284.963651
605.0,1199,2302.574382
315.0,768,2314.093104
610.0,1413,2334.77307
325.0,599,2343.647748
410.0,513,2351.236485
435.0,1073,2366.765081
800.0,1499,2389.570732
335.0,827,2401.626677
445.0,982,2416.60347
635.0,1082,2431.968574
430.0,888,2445.360352
850.0,1087,2461.586057
620.0,1077,2477.660063
680.0,1146,2494.567952
695.0,909,2508.04603
635.0,1072,2523.629658
555.0,1385,2543.698514
470.0,1070,2559.424745
565.0,1555,2582.265502
350.0,992,2597.361768
575.0,1234,2615.527166
395.0,993,2629.712344
585.0,1405,2650.897917
545.0,1278,2670.325624
760.0,1419,2691.462995
650.0,1009,2706.670424
1000.0,1562,2729.427116
135.0,469,2736.874934
865.0,1082,2752.731341
585.0,1413,2773.629719
800.0,1361,2794.74927
465.0,914,2808.179031
465.0,865,2821.715054
320.0,582,2830.027286
845.0,998,2845.307066
185.0,488,2852.652208
315.0,776,2864.531649
250.0,511,2871.136029
285.0,600,2880.793461
540.0,1137,2897.016104
255.0,501,2904.666052
545.0,1026,2919.976905
605.0,1078,2935.448006
500.0,1075,2951.071841
435.0,945,2965.602997
270.0,479,2972.124141
670.0,855,2985.222409
315.0,678,2995.070565
450.0,976,3009.308665
315.0,635,3018.786232
745.0,1094,3034.291081
260.0,695,3045.283251
600.0,1383,3065.432957
835.0,2074,3096.837912
800.0,1354,3116.414573
370.0,950,3130.796748
695.0,1008,3144.77428
345.0,629,3154.713595
525.0,1163,3171.780175
695.0,969,3186.599689
925.0,2077,3217.582119
215.0,532,3225.498033
450.0,1009,3240.693083
315.0,697,3250.854522
785.0,1552,3273.937741
665.0,1465,3295.936891
480.0,991,3310.07951
