r,l,t
35.0,308,39.828822
135.0,426,42.558271
75.0,364,45.032525
215.0,740,49.553162
155.0,592,53.174483
110.0,402,55.74679
25.0,324,57.749824
45.0,286,59.536
70.0,443,62.59329
55.0,319,64.637538
35.0,297,66.351819
165.0,596,70.05696
50.0,399,72.601124
35.0,318,74.686143
435.0,765,101.579469
110.0,425,106.602844
45.0,336,111.13359
185.0,485,117.383052
170.0,412,122.49659
250.0,519,129.034326
135.0,484,135.266283
485.0,888,145.106264
170.0,514,151.591164
150.0,510,158.030339
30.0,336,162.41204
80.0,367,167.206906
500.0,1153,181.432265
210.0,611,188.498346
180.0,641,196.211542
285.0,1019,208.639989
210.0,632,216.821659
105.0,484,222.897186
180.0,627,230.784082
260.0,728,239.436934
210.0,629,247.470858
210.0,626,255.665703
180.0,655,263.784056
210.0,638,271.490178
335.0,823,281.595535
180.0,614,289.369968
210.0,635,297.220661
210.0,617,304.769708
185.0,594,311.427501
270.0,761,320.715564
155.0,604,327.823694
155.0,652,335.704719
260.0,730,344.306874
180.0,635,352.301739
180.0,651,360.327065
210.0,618,368.118082
305.0,810,378.311062
210.0,646,386.410328
285.0,741,395.956447
210.0,638,403.794238
210.0,629,411.973419
110.0,479,418.035004
260.0,724,426.622024
210.0,640,434.424905
260.0,738,443.675754
210.0,641,451.280027
260.0,732,459.948723
105.0,469,466.114688
410.0,636,473.980796
260.0,731,483.1591
260.0,740,491.739469
330.0,808,501.336621
440.0,737,510.373601
210.0,651,518.078551
180.0,609,525.960364
210.0,644,533.742859
210.0,630,541.614855
210.0,645,549.447472
260.0,731,557.381256
440.0,721,566.205202
210.0,639,574.032212
210.0,597,580.836862
300.0,809,591.137961
565.0,1095,603.799405
260.0,737,612.952516
460.0,735,622.169626
320.0,810,631.627229
260.0,731,640.059989
300.0,706,649.127101
260.0,729,658.2386
110.0,497,663.69519
390.0,1103,677.632665
135.0,550,684.18397
305.0,806,694.158651
210.0,613,701.541536
350.0,802,710.983216
210.0,600,718.42752
210.0,640,726.407964
225.0,659,734.446344
350.0,572,741.043581
180.0,596,748.425136
210.0,699,756.693457
345.0,827,767.286423
210.0,622,774.910134
160.0,599,781.78562
565.0,1083,795.444708
210.0,678,803.659111
210.0,602,810.534673
355.0,594,818.115756
210.0,649,825.987607
565.0,1201,840.710519
210.0,612,848.220635
210.0,615,856.012099
210.0,606,863.935457
410.0,605,870.735838
465.0,1138,885.01631
240.0,717,894.20111
460.0,1440,911.988839
260.0,744,920.414333
290.0,751,929.585618
390.0,1081,942.825587
460.0,731,951.314345
210.0,628,959.276517
420.0,1093,973.187321
365.0,1101,985.965502
265.0,726,995.331335
285.0,730,1003.679102
415.0,662,1012.734731
285.0,727,1021.22638
345.0,814,1031.14852
490.0,808,1041.715009
490.0,733,1050.217843
290.0,833,1060.727246
320.0,814,1070.870763
635.0,1279,1086.773389
210.0,606,1094.439056
535.0,1046,1107.313609
210.0,626,1115.249241
725.0,1102,1128.229733
290.0,704,1137.433169
620.0,1074,1150.382089
265.0,713,1159.058594
335.0,561,1166.510912
460.0,730,1175.270941
300.0,798,1185.706759
475.0,747,1194.480474
210.0,694,1203.593441
120.0,298,1206.988412
635.0,1114,1221.171898
210.0,629,1228.09858
605.0,1114,1242.327386
315.0,822,1252.540757
395.0,1095,1266.290786
395.0,1073,1279.348577
410.0,645,1287.017049
380.0,1100,1301.044443
300.0,825,1310.632596
835.0,1282,1326.5581
210.0,660,1334.544093
285.0,712,1343.350734
485.0,712,1351.713841
620.0,1073,1365.606405
330.0,804,1375.446226
365.0,1100,1388.095625
425.0,677,1396.89236
285.0,708,1405.328539
285.0,708,1413.856246
320.0,736,1422.956167
345.0,810,1432.640228
365.0,1093,1446.296335
300.0,741,1455.429395
620.0,1076,1468.253657
305.0,722,1477.2617
260.0,732,1485.903164
285.0,728,1494.862827
275.0,741,1504.264696
285.0,704,1512.664769
440.0,1097,1526.104628
670.0,1256,1540.678557
505.0,728,1549.82453
315.0,727,1557.76735
655.0,1091,1571.285326
360.0,799,1580.662374
725.0,1187,1594.685523
260.0,708,1603.594828
285.0,703,1611.824328
565.0,1168,1626.338912
410.0,1091,1640.280074
450.0,849,1650.206599
620.0,1072,1663.562155
260.0,723,1672.150311
365.0,1090,1685.950547
120.0,478,1691.217232
260.0,710,1700.177779
825.0,1088,1713.116531
265.0,725,1722.126368
410.0,606,1729.436016
620.0,1093,1742.543296
345.0,767,1751.97594
850.0,1131,1766.00553
260.0,724,1774.514082
465.0,734,1783.747902
670.0,1136,1797.198282
420.0,1070,1809.724851
485.0,1176,1823.932572
755.0,1388,1841.044457
470.0,1103,1855.011961
475.0,760,1863.390654
285.0,707,1872.461426
210.0,625,1880.216778
240.0,679,1888.202935
315.0,736,1897.170423
470.0,1093,1910.070364
330.0,1027,1922.594618
320.0,739,1931.541981
315.0,727,1939.532934
470.0,1260,1954.800944
490.0,1123,1968.703539
420.0,1062,1981.150819
635.0,1145,1995.17316
670.0,1130,2009.336331
315.0,745,2018.628947
315.0,724,2027.088797
1095.0,1131,2041.010639
515.0,1131,2054.682008
500.0,1134,2067.564546
790.0,1249,2083.195816
510.0,1178,2097.391503
435.0,1090,2111.17501
450.0,1212,2125.881424
555.0,1153,2139.805039
650.0,1154,2153.819121
715.0,1134,2167.502938
420.0,1086,2180.280514
855.0,1262,2195.776593
450.0,1225,2210.681676
390.0,1088,2222.873336
290.0,709,2231.918103
515.0,749,2240.258216
775.0,1322,2256.78346
470.0,1115,2269.743657
885.0,1143,2283.780934
315.0,783,2293.348384
435.0,1096,2306.543209
470.0,1090,2319.520617
450.0,1106,2333.267838
470.0,1108,2345.984309
620.0,1099,2359.834661
590.0,1066,2372.472659
285.0,707,2380.967781
465.0,1152,2394.425595
450.0,1086,2407.502443
435.0,1091,2420.331676
380.0,820,2430.254495
620.0,1067,2442.654531
590.0,1082,2455.087122
435.0,1113,2468.423886
320.0,787,2477.956868
470.0,1133,2491.788683
730.0,1206,2506.199085
420.0,1066,2519.803402
290.0,730,2528.322439
470.0,1086,2542.080081
260.0,740,2550.779006
450.0,1148,2564.960239
650.0,1210,2580.452231
210.0,617,2587.376724
420.0,1068,2600.718874
390.0,1076,2613.428639
225.0,662,2621.43861
555.0,1340,2637.581391
830.0,1575,2656.492607
1050.0,1258,2671.677171
330.0,787,2681.222339
435.0,1092,2693.849527
485.0,1136,2707.397326
470.0,1251,2722.810627
425.0,1084,2736.062035
665.0,1135,2749.48973
330.0,778,2758.676988
420.0,1088,2771.014581
345.0,771,2780.019093
575.0,1466,2798.104759
670.0,1100,2810.763637
285.0,708,2819.660361
515.0,1169,2833.70311
420.0,1069,2846.167145
630.0,1460,2863.189947
450.0,1127,2877.113064
775.0,1399,2894.287885
440.0,656,2902.321686
650.0,1095,2915.505038
670.0,1103,2928.021695
605.0,1491,2945.887848
635.0,1069,2958.581061
620.0,1063,2970.607567
310.0,723,2979.283181
700.0,1128,2993.103702
500.0,723,3001.349268
530.0,1173,3014.939943
700.0,1369,3031.403337
830.0,1472,3048.543294
550.0,759,3057.974212
420.0,1085,3071.643525
465.0,1131,3084.595483
315.0,748,3093.629484
285.0,726,3102.709765
840.0,1886,3125.071882
405.0,1101,3138.508599
505.0,743,3147.937304
635.0,1084,3160.916233
475.0,1114,3174.644871
670.0,1102,3187.402942
525.0,1405,3204.282218
260.0,724,3212.812614
285.0,717,3220.798575
470.0,1135,3234.455887
470.0,1268,3249.957301
470.0,1133,3263.627815
330.0,728,3271.896099
470.0,1106,3285.237988
315.0,738,3294.354808
540.0,1378,3310.073156
450.0,1065,3323.112443
670.0,1210,3337.229297
315.0,718,3346.120156
670.0,1091,3358.603228
315.0,723,3367.689887
300.0,756,3376.281977
300.0,733,3385.372324
515.0,737,3394.129559
480.0,1213,3408.375226
490.0,751,3417.67408
470.0,1098,3431.690749
470.0,1255,3446.051605
470.0,1101,3459.830574
375.0,768,3469.225571
180.0,607,3475.883305
635.0,793,3486.054656
420.0,1074,3499.017766
620.0,1075,3511.5447
620.0,1070,3525.20541
695.0,1099,3538.012713
885.0,1125,3551.783958
555.0,1521,3569.679807
465.0,1103,3582.743437
575.0,1371,3599.598153
805.0,1335,3615.706866
515.0,748,3624.887485
705.0,1121,3638.541831
725.0,1122,3651.551804
345.0,794,3661.377831
300.0,727,3669.646648
495.0,1167,3683.164987
480.0,1169,3697.198975
555.0,1623,3716.733679
650.0,1247,3732.120334
360.0,751,3740.261366
395.0,1076,3753.359946
795.0,1325,3768.946375
470.0,1268,3784.012208
885.0,1646,3803.565958
420.0,1067,3816.342019
565.0,1065,3828.872213
395.0,868,3839.468755
605.0,1336,3854.724911
525.0,1185,3869.979709
745.0,1181,3883.799713
610.0,1386,3899.920782
725.0,1125,3913.359569
470.0,1177,3927.217531
675.0,1099,3940.831977
520.0,728,3949.706741
465.0,713,3957.560674
715.0,1184,3971.576966
925.0,1121,3984.770086
500.0,1178,3998.619081
210.0,607,4006.181737
300.0,732,4014.54943
900.0,1120,4027.761124
295.0,720,4036.941388
390.0,1040,4049.578015
435.0,1076,4062.406852
265.0,726,4071.280555
1005.0,1354,4087.219402
750.0,1168,4100.666736
520.0,757,4109.889583
545.0,811,4119.606616
620.0,1076,4132.91629
335.0,763,4142.196927
570.0,1184,4156.588982
765.0,1371,4172.853453
330.0,789,4182.774949
710.0,1162,4196.71773
810.0,1427,4213.86043
710.0,1147,4227.291884
585.0,1402,4243.357896
605.0,1394,4260.371863
685.0,1106,4274.106114
660.0,1244,4289.204901
860.0,1576,4307.761813
390.0,1006,4320.020832
525.0,1094,4332.679937
685.0,1691,4352.969591
575.0,1455,4370.606061
530.0,1110,4383.630893
590.0,1036,4396.232587
210.0,324,4400.365458
585.0,1373,4416.442759
470.0,1088,4429.866074
605.0,1365,4445.590246
390.0,782,4454.85379
370.0,687,4463.590035
220.0,563,4470.094622
575.0,1365,4487.077755
370.0,945,4497.840269
375.0,636,4505.741305
135.0,454,4510.801914
525.0,1190,4525.732465
375.0,740,4534.082277
920.0,1079,4547.548514
550.0,1328,4563.888084
430.0,678,4571.88806
570.0,672,4579.871853
810.0,1356,4596.196445
625.0,932,4607.267536
305.0,753,4616.85295
610.0,885,4627.662136
425.0,861,4637.60742
215.0,646,4645.408538
290.0,683,4654.169454
520.0,1117,4667.208338
465.0,1044,4679.655922
