r,l,t
95.0,398,10.255287
180.0,606,20.780676
110.0,575,31.690916
380.0,572,41.796838
140.0,584,52.452742
105.0,498,61.025501
355.0,618,71.98899
135.0,591,83.044588
270.0,723,95.570943
515.0,1021,114.044389
210.0,637,125.402131
180.0,602,136.924129
260.0,734,149.569159
265.0,744,163.174495
210.0,640,175.1359
180.0,612,186.83992
290.0,809,201.55426
210.0,638,212.764468
210.0,637,224.235914
390.0,1099,243.468827
260.0,734,256.980035
180.0,661,269.490076
180.0,638,281.658031
155.0,598,292.705884
260.0,735,305.273794
180.0,659,318.146557
210.0,639,329.114398
260.0,748,342.540292
240.0,725,356.178179
210.0,594,366.572211
490.0,722,379.712809
210.0,630,391.172722
180.0,609,402.400725
180.0,661,414.258518
295.0,730,426.987368
180.0,659,438.668511
155.0,607,449.604211
240.0,814,464.211833
290.0,721,478.171605
260.0,732,491.592165
210.0,620,502.209716
80.0,297,508.326072
180.0,603,519.100084
485.0,752,533.411711
210.0,618,544.858886
380.0,603,555.258706
380.0,604,566.850057
260.0,743,581.321901
180.0,639,592.759892
210.0,642,604.442229
550.0,1028,623.305604
450.0,1129,643.211003
295.0,761,656.58698
180.0,660,668.202831
210.0,604,679.065197
260.0,739,693.326199
105.0,263,698.245482
105.0,491,707.311575
330.0,1080,726.426127
210.0,651,738.163368
590.0,1099,758.224489
210.0,642,769.125283
265.0,728,782.539402
285.0,734,796.018598
470.0,720,808.584313
210.0,622,820.781583
465.0,746,834.863239
210.0,655,846.789055
225.0,819,861.93514
110.0,552,872.355061
275.0,758,885.506338
195.0,727,898.777299
150.0,504,907.8643
260.0,734,921.035231
500.0,752,933.846826
290.0,704,947.3119
305.0,812,961.455058
180.0,634,973.368289
210.0,611,985.231551
105.0,442,992.988601
210.0,595,1003.912764
225.0,650,1015.651887
125.0,485,1023.85227
285.0,759,1037.522502
155.0,531,1047.086744
110.0,405,1054.248579
410.0,620,1065.52545
75.0,277,1070.361793
410.0,613,1081.746118
210.0,644,1093.360391
105.0,509,1102.85615
55.0,302,1107.969537
275.0,771,1122.129678
210.0,625,1133.3014
580.0,1077,1152.956429
260.0,733,1166.828071
85.0,402,1173.915689
215.0,616,1185.317848
155.0,469,1193.326466
290.0,716,1207.474092
75.0,287,1212.422879
180.0,603,1223.545981
485.0,750,1237.279273
240.0,724,1249.89435
230.0,752,1263.440836
570.0,1085,1282.750571
15.0,252,1287.299744
180.0,346,1294.018082
210.0,601,1305.5516
360.0,814,1320.091873
180.0,614,1331.254904
120.0,339,1336.878409
85.0,311,1342.888737
265.0,625,1353.512499
265.0,661,1365.926046
265.0,733,1378.709872
515.0,739,1393.056632
215.0,632,1404.547913
265.0,746,1418.195724
365.0,1049,1437.266185
670.0,942,1453.762456
180.0,474,1462.657264
330.0,828,1477.672286
220.0,630,1489.421382
200.0,491,1498.292152
125.0,470,1506.409414
240.0,626,1517.678486
195.0,564,1527.819064
305.0,695,1540.991202
495.0,698,1553.263946
530.0,867,1569.08059
135.0,427,1576.503921
165.0,504,1585.423585
280.0,584,1596.654702
435.0,615,1607.416569
430.0,1142,1628.38504
555.0,1304,1652.005843
55.0,352,1658.568481
175.0,431,1666.024728
450.0,907,1682.114289
315.0,690,1695.160217
480.0,962,1712.921789
335.0,662,1724.851799
260.0,482,1733.506262
570.0,781,1747.639105
260.0,561,1757.540414
245.0,649,1769.274099
480.0,760,1783.129668
70.0,287,1788.132921
120.0,367,1794.947454
125.0,271,1799.790671
280.0,530,1809.273956
135.0,387,1816.189165
245.0,633,1827.700185
